,
Procedure + Quantity,CHARGE
Drainage of palm bursa - 1,5247
Drainage of palm bursas - 1,5247
Biopsy finger joint lining - 1,4875
Exc hand les sc < 1.5 cm - 1,2751
Release palm contracture - 1,2364
Partial removal finger bone - 1,2627
Repair hand tendon - 1,974
Repair finger tendon - 1,974
Repair finger tendon - 1,2364
Treat metacarpal fracture - 1,326
Treat metacarpal fracture - 1,326
Treat metacarpal fracture - 1,5247
Treat metacarpal fracture - 1,6630
Treat thumb dislocation - 1,450
Treat thumb fracture - 1,2627
Treat hand dislocation - 1,450
Treat hand dislocation - 1,2627
Treat knuckle dislocation - 1,450
Treat knuckle dislocation - 1,2434
Treat finger fracture each - 1,326
Treat finger fracture each - 1,326
Treat finger fracture each - 1,5247
Treat finger fracture each - 1,450
Treat finger fracture each - 1,2627
Treat finger fracture each - 1,326
Treat finger fracture each - 1,326
Treat finger dislocation - 1,326
Treat finger dislocation - 1,2142
Amputation of finger/thumb - 1,5247
Hand/finger surgery - 1,326
Drainage of pelvis lesion - 1,5247
Drainage of pelvis bursa - 1,2627
Injection for hip x-ray - 1,1430
Inject sacroiliac joint - 1,1087
Clsd tx pelvic ring fx - 1,450
Clsd tx pelvic ring fx - 1,450
Treat tail bone fracture - 1,450
Treat hip socket fracture - 1,450
Treat thigh fracture - 1,450
Treat thigh fracture - 1,2627
Treat thigh fracture - 1,450
Treat hip dislocation - 1,450
Treat hip dislocation - 1,2627
Treat hip dislocation - 1,450
Treat hip dislocation - 1,2627
Treat hip dislocation - 1,450
Treat hip dislocation - 1,2627
Cltx thigh fx - 1,5247
Drain thigh/knee lesion - 1,4757
Biopsy thigh soft tissues - 1,2472
Removal of foreign body - 1,2958
Treatment of thigh fracture - 1,450
Treatment of thigh fracture - 1,450
Treatment of thigh fracture - 1,2627
Treatment of thigh fracture - 1,2627
Treatment of thigh fracture - 1,450
Treatment of thigh fracture - 1,2627
Treat thigh fx growth plate - 1,450
Treat thigh fx growth plate - 1,2627
Treat kneecap fracture - 1,450
Treat knee fracture - 1,450
Treat knee fracture - 1,5247
Treat knee fracture(s) - 1,450
Treat knee dislocation - 1,450
Treat knee dislocation - 1,2627
Treat kneecap dislocation - 1,450
Treat kneecap dislocation - 1,450
Drain lower leg lesion - 1,4757
Drain lower leg bursa - 1,5247
Explore/treat ankle joint - 1,4442
Biopsy lower leg soft tissue - 1,2472
Remove lower leg bone lesion - 1,4442
Incision of tibia - 1,13689
Treatment of tibia fracture - 1,326
Treatment of tibia fracture - 1,2627
Cltx medial ankle fx - 1,450
Cltx med ankle fx w/mnpj - 1,2627
Cltx post ankle fx - 1,450
Cltx post ankle fx w/mnpj - 1,2627
Treatment of fibula fracture - 1,450
Treatment of fibula fracture - 1,2627
Treatment of fibula fracture - 1,13689
Treatment of ankle fracture - 1,450
Treatment of ankle fracture - 1,450
Treatment of ankle fracture - 1,450
Treatment of ankle fracture - 1,2627
Treatment of ankle fracture - 1,450
Treatment of ankle fracture - 1,2627
Treat lower leg fracture - 1,450
Treat lower leg fracture - 1,2627
Treat lower leg dislocation - 1,450
Treat lower leg dislocation - 1,5247
Treat ankle dislocation - 1,450
Treat ankle dislocation - 1,2627
Leg/ankle surgery procedure - 1,326
Drainage of bursa of foot - 1,2751
Treatment of foot infection - 1,3956
Incision of foot fascia - 1,3484
Exc foot/toe tum sc < 1.5 cm - 1,2490
Removal of toe - 1,3368
Removal of foot foreign body - 1,1653
Treatment of heel fracture - 1,450
Treatment of heel fracture - 1,450
Treatment of ankle fracture - 1,450
Treatment of ankle fracture - 1,2627
Treat midfoot fracture each - 1,450
Treat midfoot fracture each - 1,2627
Treat metatarsal fracture - 1,326
Treat metatarsal fracture - 1,450
Treat big toe fracture - 1,450
Treat big toe fracture - 1,450
Treatment of toe fracture - 1,450
Treatment of toe fracture - 1,326
Treat sesamoid bone fracture - 1,450
Treat foot dislocation - 1,450
Treat foot dislocation - 1,5247
Treat foot dislocation - 1,450
Treat foot dislocation - 1,5247
Treat foot dislocation - 1,450
Treat foot dislocation - 1,450
Treat toe dislocation - 1,450
Treat toe dislocation - 1,2627
Treat toe dislocation - 1,450
Treat toe dislocation - 1,471
Foot/toes surgery procedure - 1,326
Application of body cast - 1,351
Cl Appy Tb Jacket Body; W Head - 1,154
Application of long arm cast - 1,351
Application of forearm cast - 1,351
Apply hand/wrist cast - 1,273
Apply finger cast - 1,231
Apply long arm splint - 1,231
Apply forearm splint - 1,231
Apply forearm splint - 1,213
Application of finger splint - 1,154
Application of finger splint - 1,112
Strapping of shoulder - 1,192
Strapping of elbow or wrist - 1,154
Strapping of hand or finger - 1,154
Application of hip cast - 1,351
Application of long leg cast - 1,351
Application of long leg cast - 1,351
Apply long leg cast brace - 1,351
Application of long leg cast - 1,351
Apply short leg cast - 1,351
Apply short leg cast - 1,351
Apply short leg cast - 1,351
Addition of walker to cast - 1,231
Application of leg cast - 1,446
Application long leg splint - 1,231
Application lower leg splint - 1,231
Strapping of hip - 1,154
Strapping of knee - 1,231
Strapping of ankle and/or ft - 1,231
Strapping of toes - 1,205
Application of paste boot - 1,256
Apply multlay comprs lwr leg - 1,231
Cl Denis-browne Splint Strapping - 1,154
Removal/revision of cast - 1,441
Removal/revision of cast - 1,446
Removal/revision of cast - 1,351
Cl Remove Turnbuckle Jacket - 1,154
Wedging of cast - 1,441
Casting/strapping procedure - 1,231
Shoulder arthroscopy dx - 1,4128
Drainage of nose lesion - 1,412
Drainage of nose lesion - 1,974
Intranasal biopsy - 1,1636
Removal of nose polyp(s) - 1,2731
Remove nasal foreign body - 1,213
Control of nosebleed - 1,195
Control of nosebleed - 1,225
Control of nosebleed - 1,195
Repeat control of nosebleed - 1,413
Irrigation maxillary sinus - 1,489.54
Nasal endoscopy dx - 1,270
Nsl/sins ndsc dx max sinusc - 1,773
Nasal/sinus endoscopy surg - 1,2648
Sinus surgery procedure - 1,354
Insert emergency airway - 1,791
Change of windpipe airway - 1,453
Diagnostic laryngoscopy - 1,301
Remove foreign body larynx - 1,331
Laryngoscopy w/fb removal - 1,3826
Diagnostic laryngoscopy - 1,306
Incision of windpipe - 1,2858
Dx bronchoscope/wash - 1,1893
Dx bronchoscope/brush - 1,1893
Dx bronchoscope/lavage - 1,1893
Bronchoscopy w/biopsy(s) - 1,1893
Bronchoscopy/lung bx each - 1,4860
Bronchoscopy/needle bx each - 1,4511
Bronchoscopy dilate w/stent - 1,6864
Bronchoscopy/lung bx addl - 1,1466
Bronchoscopy/needle bx addl - 1,1466
Bronchoscopy w/fb removal - 1,1893
Bronchoscopy treat blockage - 1,4160
Brnchsc w/ther aspir 1st - 1,1893
Brnchsc w/ther aspir sbsq - 1,946
Bronchial valve init insert - 1,7128
Bronchial valve remov init - 1,4752
Bronchial valve addl insert - 1,2261
Bronch ebus samplng 1/2 node - 1,5482
Bronch ebus samplng 3/> node - 1,5482
Bronch ebus ivntj perph les - 1,1000
Bronch thermoplsty 1 lobe - 1,7417
Bronch thermoplsty 2/> lobes - 1,7417
Clearance of airways - 1,329
Airways surgical procedure - 1,1734
Open chest heart massage - 1,3158
Needle biopsy chest lining - 1,1775
Percut bx lung/mediastinum - 1,2252
"Biopsy, Pleura; Percut Needle - 1",299
Thoracentesis For Aspiratio - 1,1661
Thoracentesis W/tube Insert - 1,989
Insert pleural cath - 1,5822
Insertion of chest tube - 1,2627
Remove lung catheter - 1,1225
Aspirate pleura w/o imaging - 1,825
Aspirate pleura w/ imaging - 1,1133
Insert cath pleura w/o image - 1,3115
Insert cath pleura w/ image - 1,3262
Treat pleurodesis w/agent - 1,935
Lyse chest fibrin init day - 1,958
Thoracoscopy w/w resect diag - 1,3030
Therapeutic pneumothorax - 1,988
Chest surgery procedure - 1,914
Pericardiocentesis w/imaging - 1,3952
Prcrd drg 6yr+ w/o cgen car - 1,3952
Prcrd drg 0-5yr or w/anomly - 1,3952
Perq prcrd drg insj cath ct - 1,4214
Insert heart pm atrial - 1,23125
Insert heart pm ventricular - 1,20881
Insrt heart pm atrial & vent - 1,25153
Insert electrd/pm cath sngl - 1,11630
Insert card electrodes dual - 1,11630
Insert pulse gen sngl lead - 1,11501
Insert pulse gen dual leads - 1,12465
Upgrade of pacemaker system - 1,25153
Reposition pacing-defib lead - 1,6344
Insert 1 electrode pm-defib - 1,11630
Insert 2 electrode pm-defib - 1,11630
Repair lead pace-defib one - 1,7519
Repair lead pace-defib dual - 1,7519
Insert pulse gen mult leads - 1,32802
Relocation pocket pacemaker - 1,2517
Relocate pocket for defib - 1,2517
Insert pacing lead & connect - 1,49376
L ventric pacing lead add-on - 1,49376
Reposition l ventric lead - 1,4012
Remove&replace pm gen singl - 1,17467
Remv&replc pm gen dual lead - 1,19924
Remv&replc pm gen mult leads - 1,32802
Insrt pulse gen w/dual leads - 1,47833
Insrt pulse gen w/mult leads - 1,47833
Removal of pm generator - 1,13086
Removal of pacemaker system - 1,7519
Removal pacemaker electrode - 1,7519
Insrt pulse gen w/singl lead - 1,38073
Remove pulse generator - 1,4559
Remove elctrd transvenously - 1,4012
Insj/rplcmt defib w/lead(s) - 1,76360
Rmvl& replc pulse gen 1 lead - 1,59430
Rmvl & rplcmt dfb gen 2 lead - 1,59430
Rmvl & rplcmt dfb gen mlt ld - 1,47833
Ins/rep subq defibrillator - 1,61613
Insj subq impltbl dfb elctrd - 1,13086
Rmvl of subq defibrillator - 1,4693
Repos prev impltbl subq dfb - 1,4693
Impl Pt Activ Card Loop Rec - 1,13423
Remov Pt Activ Card Loop - 1,1453
Insj subq car rhythm mntr - 1,14808
Rmvl subq car rhythm mntr - 1,1159
Insert i-aort percut device - 1,7508
Insert vad artery access - 1,12000
Remove vad different session - 1,5000
Reposition vad diff session - 1,2000
Cardiac surgery procedure - 1,964
Removal of artery clot - 1,4422
Removal of arm artery clot - 1,4422
Removal of artery clot - 1,4422
Removal of vein clot - 1,4373
Reconstruct vena cava - 1,3035
Repair blood vessel lesion - 1,213
Repair blood vessel lesion - 1,412
Tba Percut;renal Art - 1,5177
"Pta, Aortic - 1",5177
Tba Perc Bil Brachioceph Trnk/ - 1,5177
Tba Perc Rt Venous - 1,5177
Place needle in vein - 1,336
Pseudoaneurysm injection trt - 1,1368
Injection ext venography - 1,1853
Place catheter in vein - 1,1153
Place catheter in vein - 1,1585
Place catheter in vein - 1,3206
Place catheter in artery - 1,693
Place catheter in artery - 1,1663
Place catheter in artery - 1,590
Establish access to artery - 1,1463
Intro Ndle Brachail Arter - 1,1463
Intro ndl icath upr/lxtr art - 1,2573
Access Av Dial Grft For Eval - 1,1980
Access Av Dial Grft For Proc - 1,282
Establish access to aorta - 1,1663
Place catheter in aorta - 1,2240
Place catheter in artery - 1,1543
Place catheter in artery - 1,1663
Place catheter in artery - 1,1906
Place catheter in artery - 1,1663
Place cath thoracic aorta - 1,4440
Place cath carotid/inom art - 1,4440
Place cath carotid/inom art - 1,10511
Place cath carotd art - 1,7260
Place cath subclavian art - 1,4440
Place cath vertebral art - 1,7260
Place cath xtrnl carotid - 1,7369
Ins cath abd/l-ext art 1st - 1,3087
Ins cath abd/l-ext art 2nd - 1,3927
Ins cath abd/l-ext art 3rd - 1,5105
Ins cath abd/l-ext art addl - 1,2250
Ins cath ren art 1st unilat - 1,4162
Ins cath ren art 1st bilat - 1,6752
Ins cath ren art 2nd+ unilat - 1,6243
Ins cath ren art 2nd+ bilat - 1,4162
Bl draw < 3 yrs fem/jugular - 1,97
Bl draw <3 yrs scalp vein - 1,97
Bl draw <3 yrs other vein - 1,111
Non-routine bl draw 3/> yrs - 1,53
Routine venipuncture - 1,30
Capillary blood draw - 1,34
Vein access cutdown < 1 yr - 1,743
Vein access cutdown > 1 yr - 1,743
Blood transfusion service - 1,911
Bl exchange/transfuse nb - 1,600
Transfusion service fetal - 1,668
Insertion of catheter vein - 1,760
Insertion of catheter vein - 1,4168
Insertion of catheter vein - 1,124
Apheresis wbc - 1,2472
Apheresis rbc - 1,1918
Apheresis platelets - 1,2648
Apheresis plasma - 1,2564
The/aph W Ext Corp Imm/ads&pls - 1,5319
Apheresis immunoads slctv - 1,6376
Insert non-tunnel cv cath - 1,2074
Insert non-tunnel cv cath - 1,2018
Insert tunneled cv cath - 1,8752
Insert tunneled cv cath - 1,5283
Insert tunneled cv cath - 1,5283
Insert tunneled cv cath - 1,5283
Insert tunneled cv cath - 1,8753
Insert tunneled cv cath - 1,5283
Insert tunneled cv cath - 1,8753
Insj picc <5 yr w/o imaging - 1,2074
Insj picc 5 yr+ w/o imaging - 1,2185
Insert picvad cath - 1,5283
Insert picvad cath - 1,5283
Insj picc rs&i <5 yr - 1,1240
Insj picc rs&i 5 yr+ - 1,2187
Repair tunneled cv cath - 1,960
Repair tunneled cv cath - 1,2074
Replace tunneled cv cath - 1,6344
Replace cvad cath - 1,2074
Replace tunneled cv cath - 1,6344
